# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 405.44305 1.87131 343.42405 1.42930 485.94760 2.54663
-4.9 492.91286 2.10749 417.38445 1.60582 590.99282 2.87570
-4.8 591.55134 2.47701 500.80860 1.87726 709.41844 3.39867
-4.7 693.77356 2.67782 588.64334 2.03059 829.53841 3.67174
-4.6 820.23829 3.61909 694.98779 2.71017 982.51727 5.02693
-4.5 943.69997 3.77261 800.55681 2.82785 1128.5883 5.23533
-4.4 1083.8019 3.16651 919.70478 2.40321 1295.4915 4.34035
-4.3 1239.0028 3.73169 1051.0186 2.81837 1481.6981 5.13794
-4.2 1386.4098 3.98743 1177.0805 3.01039 1656.0257 5.49135
-4.1 1559.3172 4.09855 1323.0799 3.09541 1864.0020 5.64364
-4 1724.0294 4.40805 1463.1970 3.32428 2060.1590 6.07872
-3.9 1902.8797 4.71778 1614.7715 3.55295 2274.2148 6.51522
-3.8 2086.3168 5.35060 1770.1235 4.01576 2493.9972 7.41312
-3.7 2265.0329 5.46905 1921.9221 4.10641 2707.2459 7.57435
-3.6 2459.9531 5.21273 2085.6328 3.92653 2943.3158 7.19792
-3.5 2630.4051 6.66451 2231.4231 4.97461 3144.7759 9.28612
-3.4 2829.7769 6.88916 2397.7931 5.14413 3388.2942 9.59419
-3.3 3010.7058 5.77566 2549.9382 4.34972 3607.0493 7.97474
-3.2 3194.5717 5.73331 2704.7740 4.32288 3828.9173 7.90840
-3.1 3378.7295 5.78341 2858.6677 4.36397 4053.4148 7.97125
-3 3563.3382 5.95766 3012.2047 4.49284 4279.7983 8.21653
-2.9 3731.9068 6.40872 3152.4782 4.82286 4486.3278 8.85490
-2.8 3894.6487 6.67933 3288.2874 5.02327 4684.9786 9.23318
-2.7 4064.1842 6.54362 3428.7936 4.92882 4893.7126 9.03247
-2.6 4225.8928 6.68071 3561.6311 5.03214 5095.1167 9.22048
-2.5 4374.8903 6.67370 3684.9915 5.02943 5278.7651 9.20689
