#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           51.725052       0.676121        46.254005       0.501724        58.088789       0.952918       -10.58%     12.30%
           5           155.21977        1.31612        138.49404        1.06662        173.86151        1.85782       -10.78%     12.01%
          10           275.98246        2.10710        245.81951        1.52919        311.33648        3.01735       -10.93%     12.81%
          15           388.32142        1.97204        347.29062        1.44150        436.34206        3.04122       -10.57%     12.37%
          20           503.16859        2.28885        449.88937        1.51533        564.60826        3.33723       -10.59%     12.21%
          25           596.46884        2.68004        535.55069        1.94296        667.50814        3.86404       -10.21%     11.91%
          30           637.97320        2.75268        578.03799        2.00878        706.25781        3.94943        -9.39%     10.70%
          35           593.89308        2.92210        542.03955        2.10142        652.26954        4.27356        -8.73%      9.83%
          40           452.39190        2.11457        410.81440        1.54645        499.52024        3.02389        -9.19%     10.42%
          45           305.87930        1.45696        274.32890        1.03716        342.55470        2.06585       -10.31%     11.99%
          50           208.41905        1.14755        184.33129       0.796597        236.71679        1.68098       -11.56%     13.58%
          55           145.93038       0.781076        127.97957       0.562193        167.02815        1.11649       -12.30%     14.46%
          60           106.68635       0.783987        92.897325       0.553845        123.11484        1.14045       -12.92%     15.40%
          65           79.078204       0.555932        68.507871       0.431847        91.487053       0.792909       -13.37%     15.69%
          70           59.808548       0.602714        51.742879       0.426534        69.461680       0.864600       -13.49%     16.14%
          75           46.188407       0.464212        39.899270       0.336277        53.732425       0.670267       -13.62%     16.33%
          80           36.618507       0.385528        31.481283       0.277833        42.812478       0.560271       -14.03%     16.91%
          85           28.859610       0.348501        24.785943       0.251715        33.770044       0.505231       -14.12%     17.01%
          90           22.857064       0.284314        19.677004       0.204167        26.628061       0.415666       -13.91%     16.50%
          95           19.191898       0.344784        16.369473       0.249942        22.623944       0.494249       -14.71%     17.88%
         100           15.241534       0.220131        13.041835       0.159247        17.876622       0.319146       -14.43%     17.29%
         105           12.668375       0.224695        10.828500       0.160997        14.870072       0.327959       -14.52%     17.38%
         110           10.234503       0.197973        8.7671893       0.141641        11.968507       0.289530       -14.34%     16.94%
         115           8.4424247       0.397194        7.2572814       0.279939        9.8196665       0.582987       -14.04%     16.31%
         120           7.1449987       0.153304        6.1226955       0.111331        8.3459217       0.221457       -14.31%     16.81%
         125           6.1646462       0.173148        5.2402717       0.123930        7.2762228       0.252669       -14.99%     18.03%
         130           5.3201745       0.198135        4.5259246       0.143592        6.2767865       0.284469       -14.93%     17.98%
         135           4.6109216       0.143394        3.8979829       0.103149        5.4990395       0.197709       -15.46%     19.26%
         140           3.9917487       0.139009        3.3969902       0.103783        4.7447187       0.200061       -14.90%     18.86%
         145           3.1490203       0.252871        2.7077416       0.179264        3.6537588       0.367759       -14.01%     16.03%
         150           3.0341703       0.107798        2.5493043      0.0778388        3.6335056       0.155695       -15.98%     19.75%
         155           2.5537175      0.0892899        2.1590947      0.0644685        3.0282984       0.129583       -15.45%     18.58%
         160           2.0784121      0.0843611        1.7812453      0.0613589        2.4181975       0.121867       -14.30%     16.35%
         165           1.8110038       0.126337        1.5421079      0.0909288        2.1251415       0.181435       -14.85%     17.35%
         170           1.6898872      0.0953222        1.4293381      0.0685036        1.9994740       0.142911       -15.42%     18.32%
         175           1.4323316      0.0791784        1.2368087      0.0571405        1.6469134       0.115756       -13.65%     14.98%
         180           1.3392911       0.118434        1.1361645      0.0854812        1.5801151       0.169644       -15.17%     17.98%
         185           1.0733547      0.0735995       0.91820095      0.0524713        1.2496963       0.107270       -14.46%     16.43%
         190           1.0224297      0.0629502       0.87589369      0.0456785        1.1890178      0.0909989       -14.33%     16.29%
         195          0.86924143      0.0687898       0.74142407      0.0492871        1.0144741      0.0998507       -14.70%     16.71%
         200          0.75082601      0.0856400       0.64388169      0.0618781       0.87004929       0.123204       -14.24%     15.88%
         205          0.75667523      0.0664518       0.63372597      0.0471713       0.90924724      0.0976525       -16.25%     20.16%
         210          0.64171199      0.0467024       0.54514266      0.0343400       0.75335979      0.0667933       -15.05%     17.40%
         215          0.56204390      0.0535113       0.47798999      0.0391124       0.65826695      0.0763125       -14.96%     17.12%
         220          0.51557692      0.0478420       0.43118566      0.0344943       0.61959205      0.0693435       -16.37%     20.17%
         225          0.47022909      0.0435407       0.40625981      0.0323257       0.53808675      0.0634464       -13.60%     14.43%
         230          0.48609519      0.0489129       0.40463421      0.0350448       0.58593146      0.0711432       -16.76%     20.54%
         235          0.39465654      0.0402214       0.32990113      0.0297284       0.47250927      0.0567215       -16.41%     19.73%
         240          0.37832906      0.0871981       0.31907339      0.0620071       0.44813083       0.126666       -15.66%     18.45%
         245          0.29337590      0.0461031       0.25396326      0.0328895       0.33494854      0.0673719       -13.43%     14.17%
         250          0.33798402       0.100149       0.28768119      0.0710726       0.39567124       0.145952       -14.88%     17.07%
         255          0.28249948      0.0326906       0.23332419      0.0238017       0.35112250      0.0438576       -17.41%     24.29%
         260          0.23753819      0.0341541       0.20533989      0.0250002       0.27249885      0.0494579       -13.55%     14.72%
         265          0.23015195      0.0261388       0.19490143      0.0191998       0.27035619      0.0374739       -15.32%     17.47%
         270          0.17640807      0.0237158       0.14968659      0.0172662       0.20661813      0.0344146       -15.15%     17.13%
         275          0.15872668      0.0215333       0.13819912      0.0154132       0.17950285      0.0315982       -12.93%     13.09%
         280          0.19405898      0.0307361       0.15800238      0.0223129       0.24069865      0.0445096       -18.58%     24.03%
         285          0.15501699      0.0264607       0.12788458      0.0189606       0.18827134      0.0385245       -17.50%     21.45%
         290          0.17437681      0.0253418       0.14050818      0.0190188       0.21260693      0.0356912       -19.42%     21.92%
         295          0.11262077      0.0244222      0.096986403      0.0177560       0.12816272      0.0349169       -13.88%     13.80%
         300          0.11042066      0.0171247      0.094897904      0.0122532       0.12918568      0.0229180       -14.06%     16.99%
         305          0.10840037      0.0217331      0.092716542      0.0158572       0.12538674      0.0310928       -14.47%     15.67%
         310         0.089971404      0.0180817      0.078740600      0.0129076       0.10030784      0.0264983       -12.48%     11.49%
         315         0.072945277      0.0297767      0.064400450      0.0219826      0.082153255      0.0430658       -11.71%     12.62%
         320         0.088865549      0.0170418      0.074237196      0.0121272       0.10679327      0.0253618       -16.46%     20.17%
         325         0.085510881      0.0158622      0.070175225      0.0120244       0.10841264      0.0250349       -17.93%     26.78%
         330         0.091148115      0.0178082      0.076325477      0.0129067       0.10902751      0.0256178       -16.26%     19.62%
         335         0.077845435      0.0215211      0.064491531      0.0160305      0.094031706      0.0302444       -17.15%     20.79%
         340         0.062065423     0.00985656      0.052183569     0.00769544      0.072767336      0.0138625       -15.92%     17.24%
         345         0.055954744      0.0409581      0.046099696      0.0307873      0.065674121      0.0562029       -17.61%     17.37%
         350         0.080735905      0.0395417      0.063874668      0.0280188       0.10085496      0.0579272       -20.88%     24.92%
         355         0.036331610      0.0145292      0.033546689      0.0107293      0.037785884      0.0204975        -7.67%      4.00%
         360         0.051723012      0.0105587      0.042285536     0.00759002      0.063658533      0.0155082       -18.25%     23.08%
         365         0.028682714      0.0141097      0.027185376     0.00982363      0.029259902      0.0147178        -5.22%      2.01%
         370         0.031954521      0.0141691      0.025853456      0.0101363      0.040130564      0.0207126       -19.09%     25.59%
         375         0.028359272      0.0148438      0.024037505      0.0105395      0.033315013      0.0208655       -15.24%     17.47%
         380         0.023863451      0.0118300      0.021472997     0.00854915      0.026190671      0.0163035       -10.02%      9.75%
         385         0.024246389      0.0116903      0.019565776     0.00889050      0.030313336      0.0162542       -19.30%     25.02%
         390         0.017842723      0.0181381      0.016210544      0.0133405      0.019681833      0.0254979        -9.15%     10.31%
         395         0.024017498      0.0113441      0.021492063     0.00800588      0.026512672      0.0158754       -10.51%     10.39%
         400        -0.011081428      0.0420693     -0.022380268      0.0602500    -0.0047427389      0.0301916       101.96%    -57.20%
         405         0.036376215      0.0112214      0.031545584     0.00817352      0.043555825      0.0154709       -13.28%     19.74%
         410         0.017897472     0.00872702      0.014800401     0.00615066      0.017897472     0.00872702       -17.30%   0.00000%
         415         0.027978274      0.0103151      0.022705200     0.00711411      0.034212156      0.0155461       -18.85%     22.28%
