#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         1.5           9888.2942        27.7651        8485.2819        19.8986        11631.384        40.9934       -14.19%     17.63%
         1.6           9793.3599        32.9939        8399.6466        22.9495        11529.493        50.2760       -14.23%     17.73%
         1.7           9606.0336        33.7930        8249.3943        23.9758        11289.809        50.2343       -14.12%     17.53%
         1.8           9388.4208        27.1426        8071.4482        19.3485        11019.261        40.4138       -14.03%     17.37%
         1.9           9146.4679        33.0621        7875.1128        23.0240        10713.996        50.1897       -13.90%     17.14%
           2           8980.6043        33.1507        7728.5905        22.9826        10530.986        50.6917       -13.94%     17.26%
         2.1           8672.9902        28.5255        7483.1795        20.0219        10136.043        43.1922       -13.72%     16.87%
         2.2           8469.1931        26.2399        7305.5549        20.1641        9908.8971        38.8795       -13.74%     17.00%
         2.3           8131.6064        26.2516        7022.0609        18.7922        9497.9354        39.0364       -13.64%     16.80%
         2.4           7860.9601        26.3386        6793.7444        18.7386        9174.1259        39.2448       -13.58%     16.70%
         2.5           7456.1374        26.4811        6463.8059        18.8590        8665.5241        39.4204       -13.31%     16.22%
         2.6           7104.5330        30.5667        6170.4593        21.4539        8235.7616        46.0962       -13.15%     15.92%
         2.7           6824.4033        25.5541        5913.8210        18.2230        7941.5548        37.9571       -13.34%     16.37%
         2.8           6377.6838        26.3876        5541.2732        18.6100        7395.9960        39.7894       -13.11%     15.97%
         2.9           5933.3108        25.2791        5164.2450        17.7933        6864.6409        38.1111       -12.96%     15.70%
           3           5522.7164        25.2692        4807.8076        17.7071        6389.4905        38.3627       -12.94%     15.69%
         3.1           5022.4563        24.5151        4383.9142        17.1135        5789.9811        37.3797       -12.71%     15.28%
         3.2           4563.5105        25.5799        3981.7457        18.0486        5265.1375        38.4900       -12.75%     15.37%
         3.3           4021.3867        23.1301        3517.9220        16.0323        4623.1732        35.5456       -12.52%     14.96%
         3.4           3500.3836        23.3463        3071.8179        16.2638        4004.8350        35.5406       -12.24%     14.41%
         3.5           3022.4807        19.0356        2652.1324        13.3334        3459.5750        28.9271       -12.25%     14.46%
         3.6           2528.9671        19.8945        2226.0933        13.8310        2880.1785        30.4346       -11.98%     13.89%
         3.7           2049.6460        15.8108        1803.8151        11.0153        2335.8485        24.2271       -11.99%     13.96%
         3.8           1674.6838        30.0442        1462.3988        20.2984        1931.2209        46.8942       -12.68%     15.32%
         3.9           1251.2226        12.8583        1100.0900        8.97656        1426.7908        19.6518       -12.08%     14.03%
           4           915.61180        9.41513        803.49476        6.65973        1047.1161        14.2408       -12.25%     14.36%
         4.1           617.69652        8.93777        542.30545        6.20375        705.60439        13.7746       -12.21%     14.23%
         4.2           408.29225        7.45141        355.95305        5.17207        469.48743        10.7435       -12.82%     14.99%
         4.3           241.78983        5.61672        212.31524        3.94800        275.74061        8.61798       -12.19%     14.04%
         4.4           138.67179        5.26771        119.62682        3.55020        162.55891        8.35632       -13.73%     17.23%
         4.5           62.780508        2.80912        54.552293        1.97517        72.807762        4.27828       -13.11%     15.97%
         4.6           27.604285        1.62600        23.928349        1.13208        32.046114        2.50767       -13.32%     16.09%
         4.7           8.2953842       0.867799        7.3981037       0.601232        9.1518275        1.34778       -10.82%     10.32%
         4.8           3.1417330       0.517894        2.6318644       0.357617        4.0889866       0.739203       -16.23%     30.15%
         4.9           1.1898158       0.309356        1.0341184       0.216265        1.3575423       0.482449       -13.09%     14.10%
