#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          -5           287.88359        2.20300        248.80530        1.67561        335.63780        3.00895       -13.57%     16.59%
        -4.9           344.21156        2.39561        296.99145        1.81747        402.23395        3.28200       -13.72%     16.86%
        -4.8           389.86762        2.61936        337.73933        1.98409        453.02066        3.59482       -13.37%     16.20%
        -4.7           453.67284        2.89462        392.54984        2.18795        528.03514        3.98147       -13.47%     16.39%
        -4.6           523.50371        3.02547        452.67604        2.28914        609.85682        4.15738       -13.53%     16.50%
        -4.5           590.45635        3.08661        511.61133        2.34038        685.85135        4.23273       -13.35%     16.16%
        -4.4           665.10085        3.31263        576.15274        2.50818        772.80580        4.55016       -13.37%     16.19%
        -4.3           745.99960        3.73231        646.60378        2.81635        866.10323        5.14364       -13.32%     16.10%
        -4.2           829.13783        3.94017        719.02264        2.97239        961.91474        5.43151       -13.28%     16.01%
        -4.1           920.93240        3.93472        797.70939        2.97356        1070.0818        5.41572       -13.38%     16.20%
          -4           1006.9117        4.03091        873.21165        3.04948        1168.0627        5.54271       -13.28%     16.00%
        -3.9           1109.7158        4.66244        960.82340        3.52088        1290.2407        6.41555       -13.42%     16.27%
        -3.8           1204.3554        6.43291        1043.2935        4.82358        1399.1390        8.90498       -13.37%     16.17%
        -3.7           1299.5059        6.51619        1125.5017        4.87755        1510.1336        9.04144       -13.39%     16.21%
        -3.6           1408.0979        5.21857        1217.7802        3.92481        1639.6746        7.21725       -13.52%     16.45%
        -3.5           1519.1359        5.03632        1312.1027        3.79963        1772.0967        6.94378       -13.63%     16.65%
        -3.4           1621.2106        5.13828        1399.4340        3.87804        1892.7149        7.08155       -13.68%     16.75%
        -3.3           1727.2997        5.23621        1489.7388        3.95343        2018.9135        7.21382       -13.75%     16.88%
        -3.2           1836.1364        5.80255        1582.0903        4.36826        2148.9526        8.01457       -13.84%     17.04%
        -3.1           1942.4255        5.96797        1671.6694        4.49088        2277.0326        8.24647       -13.94%     17.23%
          -3           2038.2976        5.66848        1752.6743        4.27605        2392.2098        7.81594       -14.01%     17.36%
        -2.9           2163.5961        5.82594        1855.6068        4.39654        2548.2124        8.02797       -14.24%     17.78%
        -2.8           2256.8797        5.81900        1934.6236        4.39293        2659.9293        8.01693       -14.28%     17.86%
        -2.7           2364.2712        5.97594        2023.6680        4.50595        2792.0533        8.24435       -14.41%     18.09%
        -2.6           2467.4225        6.47468        2109.0449        4.86784        2919.2688        8.95751       -14.52%     18.31%
        -2.5           2573.7997        6.40153        2196.5747        4.81918        3051.4408        8.84469       -14.66%     18.56%
        -2.4           2673.3018        6.04548        2278.4005        4.56592        3175.0543        8.32657       -14.77%     18.77%
        -2.3           2771.0524        6.17743        2358.0796        4.66161        3297.8290        8.51621       -14.90%     19.01%
        -2.2           2875.4276        6.57403        2442.1599        4.95031        3430.9245        9.08077       -15.07%     19.32%
        -2.1           2952.7861        6.60241        2505.8668        4.97277        3526.7877        9.11784       -15.14%     19.44%
          -2           3047.1618        6.25066        2582.0407        4.72155        3646.7444        8.60769       -15.26%     19.68%
        -1.9           3119.9985        6.38540        2642.0450        4.82731        3736.9960        8.78193       -15.32%     19.78%
        -1.8           3218.2975        6.43539        2720.0202        4.86669        3864.5444        8.84700       -15.48%     20.08%
        -1.7           3286.2125        6.58448        2775.0583        4.97025        3950.3226        9.07069       -15.55%     20.21%
        -1.6           3370.1876        6.72243        2841.7932        5.06958        4058.9662        9.26978       -15.68%     20.44%
        -1.5           3437.0582        6.48923        2895.8274        4.90296        4143.7526        8.93254       -15.75%     20.56%
        -1.4           3515.5174        6.25302        2958.2964        4.73397        4245.0387        8.59167       -15.85%     20.75%
        -1.3           3576.6191        6.14468        3006.9376        4.65472        4323.9168        8.44050       -15.93%     20.89%
        -1.2           3633.9568        6.42515        3053.0812        4.85797        4396.9325        8.84032       -15.98%     21.00%
        -1.1           3696.8586        7.08488        3102.6883        5.33741        4479.0342        9.77867       -16.07%     21.16%
          -1           3728.6046        6.88612        3128.2868        5.19310        4519.2423        9.49539       -16.10%     21.20%
        -0.9           3795.7735        6.98698        3181.0783        5.25193        4607.2475        9.67743       -16.19%     21.38%
        -0.8           3823.0806        7.27066        3203.4031        5.46006        4641.2940        10.0772       -16.21%     21.40%
        -0.7           3859.5052        6.59802        3231.8638        4.98635        4689.2933        9.08113       -16.26%     21.50%
        -0.6           3904.3981        7.47128        3266.7605        5.62367        4748.8708        10.3161       -16.33%     21.63%
        -0.5           3921.0527        7.50967        3280.4810        5.65346        4769.3787        10.3670       -16.34%     21.64%
        -0.4           3937.0224        6.53540        3292.6810        4.94682        4790.9721        8.97963       -16.37%     21.69%
        -0.3           3957.1932        6.74564        3308.3436        5.09759        4817.6603        9.28275       -16.40%     21.74%
        -0.2           3964.8530        6.82019        3315.3994        5.15059        4825.7481        9.39140       -16.38%     21.71%
        -0.1           3973.1961        6.71635        3321.1049        5.07773        4838.3294        9.23754       -16.41%     21.77%
           0           3973.1961        6.71635        3321.1049        5.07773        4838.3294        9.23754       -16.41%     21.77%
         0.1           3964.8530        6.82019        3315.3994        5.15059        4825.7481        9.39140       -16.38%     21.71%
         0.2           3957.1932        6.74564        3308.3436        5.09759        4817.6603        9.28275       -16.40%     21.74%
         0.3           3937.0224        6.53540        3292.6810        4.94682        4790.9721        8.97963       -16.37%     21.69%
         0.4           3921.0527        7.50967        3280.4810        5.65346        4769.3787        10.3670       -16.34%     21.64%
         0.5           3904.3981        7.47128        3266.7605        5.62367        4748.8708        10.3161       -16.33%     21.63%
         0.6           3859.5052        6.59802        3231.8638        4.98635        4689.2933        9.08113       -16.26%     21.50%
         0.7           3823.0806        7.27066        3203.4031        5.46006        4641.2940        10.0772       -16.21%     21.40%
         0.8           3795.7735        6.98698        3181.0783        5.25193        4607.2475        9.67743       -16.19%     21.38%
         0.9           3728.6046        6.88612        3128.2868        5.19310        4519.2423        9.49539       -16.10%     21.20%
           1           3696.8586        7.08488        3102.6883        5.33741        4479.0342        9.77867       -16.07%     21.16%
         1.1           3633.9568        6.42515        3053.0812        4.85797        4396.9325        8.84032       -15.98%     21.00%
         1.2           3576.6191        6.14468        3006.9376        4.65472        4323.9168        8.44050       -15.93%     20.89%
         1.3           3515.5174        6.25302        2958.2964        4.73397        4245.0387        8.59167       -15.85%     20.75%
         1.4           3437.0582        6.48923        2895.8274        4.90296        4143.7526        8.93254       -15.75%     20.56%
         1.5           3370.1876        6.72243        2841.7932        5.06958        4058.9662        9.26978       -15.68%     20.44%
         1.6           3286.2125        6.58448        2775.0583        4.97025        3950.3226        9.07069       -15.55%     20.21%
         1.7           3218.2975        6.43539        2720.0202        4.86669        3864.5444        8.84700       -15.48%     20.08%
         1.8           3119.9985        6.38540        2642.0450        4.82731        3736.9960        8.78193       -15.32%     19.78%
         1.9           3047.1618        6.25066        2582.0407        4.72155        3646.7444        8.60769       -15.26%     19.68%
           2           2952.7861        6.60241        2505.8668        4.97277        3526.7877        9.11784       -15.14%     19.44%
         2.1           2875.4276        6.57403        2442.1599        4.95031        3430.9245        9.08077       -15.07%     19.32%
         2.2           2771.0524        6.17743        2358.0796        4.66161        3297.8290        8.51621       -14.90%     19.01%
         2.3           2673.3018        6.04548        2278.4005        4.56592        3175.0543        8.32657       -14.77%     18.77%
         2.4           2573.7997        6.40153        2196.5747        4.81918        3051.4408        8.84469       -14.66%     18.56%
         2.5           2467.4225        6.47468        2109.0449        4.86784        2919.2688        8.95751       -14.52%     18.31%
         2.6           2364.2712        5.97594        2023.6680        4.50595        2792.0533        8.24435       -14.41%     18.09%
         2.7           2256.8797        5.81900        1934.6236        4.39293        2659.9293        8.01693       -14.28%     17.86%
         2.8           2163.5961        5.82594        1855.6068        4.39654        2548.2124        8.02797       -14.24%     17.78%
         2.9           2038.2976        5.66848        1752.6743        4.27605        2392.2098        7.81594       -14.01%     17.36%
           3           1942.4255        5.96797        1671.6694        4.49088        2277.0326        8.24647       -13.94%     17.23%
         3.1           1836.1364        5.80255        1582.0903        4.36826        2148.9526        8.01457       -13.84%     17.04%
         3.2           1727.2997        5.23621        1489.7388        3.95343        2018.9135        7.21382       -13.75%     16.88%
         3.3           1621.2106        5.13828        1399.4340        3.87804        1892.7149        7.08155       -13.68%     16.75%
         3.4           1519.1359        5.03632        1312.1027        3.79963        1772.0967        6.94378       -13.63%     16.65%
         3.5           1408.0979        5.21857        1217.7802        3.92481        1639.6746        7.21725       -13.52%     16.45%
         3.6           1299.5059        6.51619        1125.5017        4.87755        1510.1336        9.04144       -13.39%     16.21%
         3.7           1204.3554        6.43291        1043.2935        4.82358        1399.1390        8.90498       -13.37%     16.17%
         3.8           1109.7158        4.66244        960.82340        3.52088        1290.2407        6.41555       -13.42%     16.27%
         3.9           1006.9117        4.03091        873.21165        3.04948        1168.0627        5.54271       -13.28%     16.00%
           4           920.93240        3.93472        797.70939        2.97356        1070.0818        5.41572       -13.38%     16.20%
         4.1           829.13783        3.94017        719.02264        2.97239        961.91474        5.43151       -13.28%     16.01%
         4.2           745.99960        3.73231        646.60378        2.81635        866.10323        5.14364       -13.32%     16.10%
         4.3           665.10085        3.31263        576.15274        2.50818        772.80580        4.55016       -13.37%     16.19%
         4.4           590.45635        3.08661        511.61133        2.34038        685.85135        4.23273       -13.35%     16.16%
         4.5           523.50371        3.02547        452.67604        2.28914        609.85682        4.15738       -13.53%     16.50%
         4.6           453.67284        2.89462        392.54984        2.18795        528.03514        3.98147       -13.47%     16.39%
         4.7           389.86762        2.61936        337.73933        1.98409        453.02066        3.59482       -13.37%     16.20%
         4.8           344.21156        2.39561        296.99145        1.81747        402.23395        3.28200       -13.72%     16.86%
         4.9           287.88359        2.20300        248.80530        1.67561        335.63780        3.00895       -13.57%     16.59%
