#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          50           35.327150       0.181373        30.064455       0.141059        41.991473       0.274220       -14.90%     18.86%
          60           102.62922       0.362631        87.720928       0.261107        121.28996       0.543147       -14.53%     18.18%
          70           2284.8958        2.00754        1964.2014        1.39912        2682.2772        3.05627       -14.04%     17.39%
          80           3707.0236        2.62314        3192.5265        1.82219        4341.8192        3.99510       -13.88%     17.12%
          90           107.60978       0.429775        93.100288       0.302436        125.36443       0.646551       -13.48%     16.50%
         100           33.619234       0.212198        29.164857       0.151763        39.056325       0.314352       -13.25%     16.17%
         110           16.013966       0.168599        13.947740       0.118664        18.510330       0.254280       -12.90%     15.59%
         120           8.9582304       0.136992        7.8482585      0.0982165        10.275217       0.202124       -12.39%     14.70%
         130           5.8246173       0.100872        5.0796920      0.0725461        6.7500415       0.161164       -12.79%     15.89%
         140           3.8864254      0.0910694        3.4211857      0.0658163        4.4316825       0.133682       -11.97%     14.03%
