#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0           1062.9390        3.73600        931.60048        2.60688        1222.2751        5.60529       -12.36%     14.99%
           5           1277.3545        3.20752        1134.6755        2.22993        1451.6445        4.62764       -11.17%     13.64%
          10           805.25672        2.76245        720.22945        2.00859        906.51856        3.98093       -10.56%     12.58%
          15           492.65119        2.31586        443.29708        1.67072        549.44710        3.37162       -10.02%     11.53%
          20           315.61529        1.54488        285.10056        1.12868        349.59797        2.22007        -9.67%     10.77%
          25           208.05808        1.32194        189.32521       0.964243        227.68077        1.90300        -9.00%      9.43%
          30           146.61111        1.03915        133.61548       0.759653        159.77191        1.49523        -8.86%      8.98%
          35           105.66999       0.900396        96.509946       0.653738        114.63048        1.30049        -8.67%      8.48%
          40           78.989684       0.773918        72.279191       0.560923        85.242002        1.11895        -8.50%      7.92%
          45           58.909507       0.794512        54.237363       0.572308        62.816037        1.15216        -7.93%      6.63%
          50           46.352669       0.750523        42.637407       0.536117        49.428114        1.09317        -8.02%      6.63%
          55           38.013214       0.715690        34.810648       0.509078        40.724484        1.04436        -8.42%      7.13%
          60           28.687204       0.485335        26.741945       0.350679        29.818706       0.703158        -6.78%      3.94%
          65           22.789196       0.442646        21.272003       0.318574        23.578335       0.643691        -6.66%      3.46%
          70           19.285167       0.579730        17.927072       0.415372        20.057345       0.838220        -7.04%      4.00%
          75           15.648436       0.367559        14.624254       0.263688        16.112833       0.534687        -6.54%      2.97%
          80           12.618182       0.370942        11.829518       0.245625        12.794539       0.548666        -6.25%      1.40%
          85           10.978723       0.373119        10.315958       0.269698        11.150240       0.536548        -6.04%      1.56%
          90           9.2991766       0.333567        8.7725691       0.237752        9.3568006       0.312817        -5.66%      0.62%
          95           7.8471670       0.324962        7.4116525       0.233033        7.8964450       0.323225        -5.55%      0.63%
         100           6.4752275       0.284303        6.2034386       0.202390        6.5043371       0.286941        -4.20%      0.45%
         105           5.5660284       0.261557        5.3032590       0.186006        5.5954445       0.263210        -4.72%      0.53%
         110           4.8608868       0.234299        4.6376923       0.166827        4.8877612       0.235409        -4.59%      0.55%
         115           3.9912360       0.231061        3.7813413       0.335954        4.0446374       0.220436        -5.26%      1.34%
         120           3.5088100       0.232820        3.3065065       0.342321        3.5233920       0.230275        -5.77%      0.42%
         125           3.1039926       0.224187        2.9597182       0.328004        3.1277837       0.221441        -4.65%      0.77%
         130           2.4734605       0.192878        2.2148552       0.299219        2.4980587       0.190500       -10.46%      0.99%
         135           2.3254259       0.185938        2.1691959       0.268376        2.3474614       0.184030        -6.72%      0.95%
         140           2.1235635       0.174015        1.9470082       0.255309        2.1373807       0.171484        -8.31%      0.65%
         145           1.9584142       0.174899        1.8383487       0.253894        1.9760295       0.172925        -6.13%      0.90%
         150           1.6167605       0.151556        1.4474633       0.222465        1.6308159       0.148487       -10.47%      0.87%
         155           1.2917323       0.160569        1.0953320       0.235145        1.3147673       0.157519       -15.20%      1.78%
         160           1.2643653       0.131809        1.0962906       0.192407        1.2805928       0.129433       -13.29%      1.28%
         165           1.0757581       0.170991       0.90264363       0.247270        1.0960905       0.167946       -16.09%      1.89%
         170           1.1048136       0.140516        1.0091640       0.204515        1.1155665       0.137807        -8.66%      0.97%
         175          0.78101606       0.131972       0.58719796       0.192604       0.83038735      0.0936914       -24.82%      6.32%
         180          0.99393698       0.113994       0.94711208      0.0810851        1.0027881       0.111742        -4.71%      0.89%
         185          0.68526596       0.121056       0.53398777       0.186129       0.70596748      0.0856795       -22.08%      3.02%
         190          0.56245175      0.0925842       0.43432074       0.136455       0.58980903      0.0653136       -22.78%      4.86%
         195          0.62230474      0.0965007       0.53143269       0.141375       0.63755937      0.0943135       -14.60%      2.45%
         200          0.52839055       0.114461       0.41974849       0.167401       0.54712745      0.0810656       -20.56%      3.55%
         205          0.43725254       0.101808       0.33377765       0.149393       0.46051373      0.0718682       -23.66%      5.32%
         210          0.55204018      0.0862535       0.52119292       0.126680       0.56284327      0.0837893        -5.59%      1.96%
         215          0.38564567       0.109579       0.28853242       0.159269       0.40796454      0.0778756       -25.18%      5.79%
         220          0.45152033       0.101624       0.41472350       0.147935       0.46104973      0.0991587        -8.15%      2.11%
         225          0.29553858       0.103533       0.22217635       0.151885       0.31307294      0.0730251       -24.82%      5.93%
         230          0.26493849      0.0761220       0.18649845       0.112353       0.28574612      0.0534192       -29.61%      7.85%
         235          0.36005662      0.0760688       0.32681631       0.102838       0.36907474      0.0737413        -9.23%      2.50%
         240          0.23420535      0.0811802       0.16281499       0.118746       0.25390790      0.0574938       -30.48%      8.41%
         245          0.20672724      0.0763751       0.15631033       0.111425       0.21718231      0.0547534       -24.39%      5.06%
         250          0.17982080      0.0708648       0.10983981       0.103503       0.20254553      0.0502631       -38.92%     12.64%
         255          0.13574218      0.0922230      0.050077001       0.134331       0.16887841      0.0653374       -63.11%     24.41%
         260         0.099702193      0.0639945      0.016689138      0.0945929       0.13325475      0.0449864       -83.26%     33.65%
         265          0.18602631      0.0820240       0.13997692       0.119344       0.19585425      0.0582223       -24.75%      5.28%
