#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
         1.4           8762.9396        30.1361        7564.8409        21.1921        10232.863        45.3017       -13.67%     16.77%
         1.5           8782.9644        28.5012        7573.8677        20.3009        10272.038        42.2549       -13.77%     16.95%
         1.6           8789.1456        29.5769        7580.7946        21.3751        10273.657        43.1801       -13.75%     16.89%
         1.7           8833.5230        31.8779        7605.6690        22.0656        10352.595        48.8760       -13.90%     17.20%
         1.8           8736.1827        27.8271        7537.7155        19.4392        10204.647        42.3039       -13.72%     16.81%
         1.9           8750.3358        26.1811        7542.7062        18.6583        10232.895        39.0289       -13.80%     16.94%
           2           8767.1996        31.2766        7546.9859        21.8062        10272.753        47.4504       -13.92%     17.17%
         2.1           8731.7671        24.0937        7509.8090        17.0181        10242.805        36.2858       -13.99%     17.31%
         2.2           8678.4869        23.3886        7461.9531        16.6414        10183.322        35.0616       -14.02%     17.34%
         2.3           8595.5058        23.7696        7388.5266        16.7275        10089.643        35.9935       -14.04%     17.38%
         2.4           8524.8582        24.5328        7321.3241        17.3086        10017.224        36.9125       -14.12%     17.51%
         2.5           8370.1498        25.9207        7191.3267        18.6016        9828.2901        38.1902       -14.08%     17.42%
         2.6           8267.7610        22.9322        7097.1198        16.2533        9717.9929        34.4802       -14.16%     17.54%
         2.7           8081.9701        25.0906        6931.2468        17.8180        9511.8753        37.5190       -14.24%     17.69%
         2.8           7928.6824        25.2674        6792.3556        17.6001        9344.6198        38.5844       -14.33%     17.86%
         2.9           7688.3766        28.8511        6578.4813        19.8388        9077.5003        44.5363       -14.44%     18.07%
           3           7389.8052        20.9458        6320.9903        14.7481        8727.4448        31.7864       -14.46%     18.10%
         3.1           7062.5808        27.0425        6033.3994        18.9992        8349.6445        37.2187       -14.57%     18.22%
         3.2           6604.7511        21.9342        5652.3407        15.5810        7792.6028        32.8170       -14.42%     17.98%
         3.3           6190.3886        23.3969        5287.7529        16.3508        7322.5059        35.5564       -14.58%     18.29%
         3.4           5694.9282        19.8483        4863.0229        13.9255        6737.8544        30.1339       -14.61%     18.31%
         3.5           5164.7633        22.0769        4409.5803        15.2616        6111.6892        33.9192       -14.62%     18.33%
         3.6           4600.5169        17.7930        3927.1801        12.4395        5443.6813        27.1828       -14.64%     18.33%
         3.7           4024.9711        19.5001        3433.8206        13.5621        4766.1684        29.7776       -14.69%     18.41%
         3.8           3486.8491        30.8273        2960.9020        20.8147        4156.4208        48.1626       -15.08%     19.20%
         3.9           2847.1776        15.1900        2423.3119        10.8344        3388.7994        20.0646       -14.89%     19.02%
           4           2295.2328        12.1461        1947.3565        8.48579        2738.2159        18.5519       -15.16%     19.30%
         4.1           1734.0504        10.5436        1474.9669        7.40111        2060.7093        16.0197       -14.94%     18.84%
         4.2           1284.2142        8.81497        1088.5266        6.41862        1533.3282        13.4416       -15.24%     19.40%
         4.3           881.45336        8.77411        744.30748        6.16271        1058.1769        13.2349       -15.56%     20.05%
         4.4           570.16757        6.51984        480.45271        4.47566        686.08716        10.1440       -15.73%     20.33%
         4.5           343.81941        4.10889        288.46217        2.89929        415.02863        6.20525       -16.10%     20.71%
         4.6           180.44959        3.05453        151.58097        2.14257        216.89878        4.65898       -16.00%     20.20%
         4.7           84.955362        1.83874        71.212980        1.29221        102.40707        2.80459       -16.18%     20.54%
         4.8           37.025447        1.04093        30.565536       0.768660        45.209702        1.59293       -17.45%     22.10%
         4.9           13.875258       0.771106        11.499206       0.541573        16.973094        1.15030       -17.12%     22.33%
