#   left-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
          -5           309.39573        2.89397        264.90330        2.14445        365.34032        4.07421       -14.38%     18.08%
        -4.9           362.82678        3.10514        310.57215        2.30452        428.62615        4.36270       -14.40%     18.14%
        -4.8           420.77964        2.14066        360.60251        1.63662        496.28011        2.91430       -14.30%     17.94%
        -4.7           480.66958        2.23415        412.83490        1.71039        565.18752        3.03843       -14.11%     17.58%
        -4.6           547.26426        2.73141        470.69571        2.06992        642.21597        3.75335       -13.99%     17.35%
        -4.5           620.68011        2.93031        534.10184        2.21850        727.90344        4.03093       -13.95%     17.28%
        -4.4           697.21908        2.88332        600.60450        2.19436        816.43812        3.94542       -13.86%     17.10%
        -4.3           775.91154        3.14221        668.62137        2.38727        908.14244        4.30590       -13.83%     17.04%
        -4.2           857.53141        3.63547        740.47069        2.74684        1000.7686        5.00875       -13.65%     16.70%
        -4.1           948.67864        3.81048        818.90610        2.87811        1107.6460        5.25210       -13.68%     16.76%
          -4           1039.9526        3.99194        897.71520        3.01564        1214.2077        5.50003       -13.68%     16.76%
        -3.9           1131.5692        4.24588        977.22625        3.20342        1320.2936        5.85734       -13.64%     16.68%
        -3.8           1232.8683        4.27231        1064.2731        3.22765        1439.3172        5.88729       -13.68%     16.75%
        -3.7           1332.9842        4.41539        1149.9995        3.33830        1557.4767        6.07816       -13.73%     16.84%
        -3.6           1423.0048        4.60532        1229.1230        3.48149        1659.8413        6.33957       -13.62%     16.64%
        -3.5           1526.2588        4.83052        1317.6760        3.64784        1781.4770        6.65672       -13.67%     16.72%
        -3.4           1643.9728        4.97439        1416.3042        3.75554        1924.4837        6.85691       -13.85%     17.06%
        -3.3           1744.0286        5.02886        1501.9720        3.79831        2042.5634        6.92971       -13.88%     17.12%
        -3.2           1838.8086        5.20645        1584.1869        3.93350        2152.4064        7.17048       -13.85%     17.05%
        -3.1           1952.5717        5.23966        1678.7213        3.96207        2292.0991        7.20970       -14.03%     17.39%
          -3           2054.0699        5.43399        1764.8127        4.10416        2413.3302        7.48632       -14.08%     17.49%
        -2.9           2161.1857        5.74966        1854.0343        4.33437        2544.4404        7.93525       -14.21%     17.73%
        -2.8           2251.2906        5.56215        1930.2678        4.20073        2652.3836        7.66494       -14.26%     17.82%
        -2.7           2374.7326        5.57257        2032.4351        4.21085        2804.7385        7.67639       -14.41%     18.11%
        -2.6           2461.4551        5.86935        2104.6904        4.42893        2910.7410        8.09401       -14.49%     18.25%
        -2.5           2570.3722        5.87193        2193.7410        4.43680        3047.1120        8.08547       -14.65%     18.55%
        -2.4           2661.0905        5.99174        2268.7048        4.52580        3159.1928        8.25254       -14.75%     18.72%
        -2.3           2753.3046        5.92511        2344.7902        4.48063        3273.2998        8.15256       -14.84%     18.89%
        -2.2           2853.6874        5.96089        2426.5341        4.50746        3399.6333        8.20212       -14.97%     19.13%
        -2.1           2945.1228        6.06925        2500.8106        4.58796        3514.8898        8.35309       -15.09%     19.35%
          -2           3027.0195        6.00313        2567.2930        4.54237        3618.2758        8.25485       -15.19%     19.53%
        -1.9           3115.4967        6.14357        2638.1149        4.64495        3731.8279        8.45415       -15.32%     19.78%
        -1.8           3194.8578        6.12605        2702.6381        4.63335        3831.7532        8.42725       -15.41%     19.94%
        -1.7           3270.3268        6.28538        2763.8893        4.75615        3927.0101        8.63845       -15.49%     20.08%
        -1.6           3344.6860        6.83979        2822.4888        5.15967        4024.1998        9.42600       -15.61%     20.32%
        -1.5           3408.2372        6.80035        2874.7616        5.12683        4102.9674        9.37988       -15.65%     20.38%
        -1.4           3491.2111        6.44303        2940.1940        4.86889        4211.3401        8.86890       -15.78%     20.63%
        -1.3           3546.5518        6.70582        2984.2855        5.06054        4282.6228        9.24273       -15.85%     20.75%
        -1.2           3606.3130        6.66330        3031.9213        5.03019        4359.5912        9.18053       -15.93%     20.89%
        -1.1           3664.1771        6.41016        3077.8184        4.84950        4434.6622        8.81334       -16.00%     21.03%
          -1           3710.3242        6.37808        3115.4392        4.82575        4492.4826        8.76928       -16.03%     21.08%
        -0.9           3752.7769        6.39279        3148.7129        4.83765        4548.2274        8.78809       -16.10%     21.20%
        -0.8           3795.3101        6.46504        3182.4717        4.89214        4603.2916        8.88630       -16.15%     21.29%
        -0.7           3824.6967        6.49346        3205.2585        4.91498        4642.3448        8.92177       -16.20%     21.38%
        -0.6           3866.1761        6.72732        3237.3522        5.08424        4697.5512        9.25630       -16.26%     21.50%
        -0.5           3890.2450        6.66310        3257.1361        5.03713        4727.4064        9.16635       -16.27%     21.52%
        -0.4           3908.9193        6.39127        3272.0478        4.84162        4751.4437        8.77496       -16.29%     21.55%
        -0.3           3932.0395        6.49910        3289.7056        4.91848        4782.7217        8.93168       -16.34%     21.63%
        -0.2           3922.3876        6.53712        3282.9526        4.94486        4768.3423        8.98900       -16.30%     21.57%
        -0.1           3950.7308        6.55649        3304.6501        4.96242        4806.6595        9.00844       -16.35%     21.67%
           0           3950.7308        6.55649        3304.6501        4.96242        4806.6595        9.00844       -16.35%     21.67%
         0.1           3922.3876        6.53712        3282.9526        4.94486        4768.3423        8.98900       -16.30%     21.57%
         0.2           3932.0395        6.49910        3289.7056        4.91848        4782.7217        8.93168       -16.34%     21.63%
         0.3           3908.9193        6.39127        3272.0478        4.84162        4751.4437        8.77496       -16.29%     21.55%
         0.4           3890.2450        6.66310        3257.1361        5.03713        4727.4064        9.16635       -16.27%     21.52%
         0.5           3866.1761        6.72732        3237.3522        5.08424        4697.5512        9.25630       -16.26%     21.50%
         0.6           3824.6967        6.49346        3205.2585        4.91498        4642.3448        8.92177       -16.20%     21.38%
         0.7           3795.3101        6.46504        3182.4717        4.89214        4603.2916        8.88630       -16.15%     21.29%
         0.8           3752.7769        6.39279        3148.7129        4.83765        4548.2274        8.78809       -16.10%     21.20%
         0.9           3710.3242        6.37808        3115.4392        4.82575        4492.4826        8.76928       -16.03%     21.08%
           1           3664.1771        6.41016        3077.8184        4.84950        4434.6622        8.81334       -16.00%     21.03%
         1.1           3606.3130        6.66330        3031.9213        5.03019        4359.5912        9.18053       -15.93%     20.89%
         1.2           3546.5518        6.70582        2984.2855        5.06054        4282.6228        9.24273       -15.85%     20.75%
         1.3           3491.2111        6.44303        2940.1940        4.86889        4211.3401        8.86890       -15.78%     20.63%
         1.4           3408.2372        6.80035        2874.7616        5.12683        4102.9674        9.37988       -15.65%     20.38%
         1.5           3344.6860        6.83979        2822.4888        5.15967        4024.1998        9.42600       -15.61%     20.32%
         1.6           3270.3268        6.28538        2763.8893        4.75615        3927.0101        8.63845       -15.49%     20.08%
         1.7           3194.8578        6.12605        2702.6381        4.63335        3831.7532        8.42725       -15.41%     19.94%
         1.8           3115.4967        6.14357        2638.1149        4.64495        3731.8279        8.45415       -15.32%     19.78%
         1.9           3027.0195        6.00313        2567.2930        4.54237        3618.2758        8.25485       -15.19%     19.53%
           2           2945.1228        6.06925        2500.8106        4.58796        3514.8898        8.35309       -15.09%     19.35%
         2.1           2853.6874        5.96089        2426.5341        4.50746        3399.6333        8.20212       -14.97%     19.13%
         2.2           2753.3046        5.92511        2344.7902        4.48063        3273.2998        8.15256       -14.84%     18.89%
         2.3           2661.0905        5.99174        2268.7048        4.52580        3159.1928        8.25254       -14.75%     18.72%
         2.4           2570.3722        5.87193        2193.7410        4.43680        3047.1120        8.08547       -14.65%     18.55%
         2.5           2461.4551        5.86935        2104.6904        4.42893        2910.7410        8.09401       -14.49%     18.25%
         2.6           2374.7326        5.57257        2032.4351        4.21085        2804.7385        7.67639       -14.41%     18.11%
         2.7           2251.2906        5.56215        1930.2678        4.20073        2652.3836        7.66494       -14.26%     17.82%
         2.8           2161.1857        5.74966        1854.0343        4.33437        2544.4404        7.93525       -14.21%     17.73%
         2.9           2054.0699        5.43399        1764.8127        4.10416        2413.3302        7.48632       -14.08%     17.49%
           3           1952.5717        5.23966        1678.7213        3.96207        2292.0991        7.20970       -14.03%     17.39%
         3.1           1838.8086        5.20645        1584.1869        3.93350        2152.4064        7.17048       -13.85%     17.05%
         3.2           1744.0286        5.02886        1501.9720        3.79831        2042.5634        6.92971       -13.88%     17.12%
         3.3           1643.9728        4.97439        1416.3042        3.75554        1924.4837        6.85691       -13.85%     17.06%
         3.4           1526.2588        4.83052        1317.6760        3.64784        1781.4770        6.65672       -13.67%     16.72%
         3.5           1423.0048        4.60532        1229.1230        3.48149        1659.8413        6.33957       -13.62%     16.64%
         3.6           1332.9842        4.41539        1149.9995        3.33830        1557.4767        6.07816       -13.73%     16.84%
         3.7           1232.8683        4.27231        1064.2731        3.22765        1439.3172        5.88729       -13.68%     16.75%
         3.8           1131.5692        4.24588        977.22625        3.20342        1320.2936        5.85734       -13.64%     16.68%
         3.9           1039.9526        3.99194        897.71520        3.01564        1214.2077        5.50003       -13.68%     16.76%
           4           948.67864        3.81048        818.90610        2.87811        1107.6460        5.25210       -13.68%     16.76%
         4.1           857.53141        3.63547        740.47069        2.74684        1000.7686        5.00875       -13.65%     16.70%
         4.2           775.91154        3.14221        668.62137        2.38727        908.14244        4.30590       -13.83%     17.04%
         4.3           697.21908        2.88332        600.60450        2.19436        816.43812        3.94542       -13.86%     17.10%
         4.4           620.68011        2.93031        534.10184        2.21850        727.90344        4.03093       -13.95%     17.28%
         4.5           547.26426        2.73141        470.69571        2.06992        642.21597        3.75335       -13.99%     17.35%
         4.6           480.66958        2.23415        412.83490        1.71039        565.18752        3.03843       -14.11%     17.58%
         4.7           420.77964        2.14066        360.60251        1.63662        496.28011        2.91430       -14.30%     17.94%
         4.8           362.82678        3.10514        310.57215        2.30452        428.62615        4.36270       -14.40%     18.14%
         4.9           309.39573        2.89397        264.90330        2.14445        365.34032        4.07421       -14.38%     18.08%
